"NUM_DAU";"COMM";"SEC_CADASTRE1";"NUM_CADASTRE1";"DESTINATION_PRINCIPALE";"SURF_LOC_CREEE";"SURF_LOC_AVANT";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"SUPERFICIE_TERRAIN"
"00100422A1010";"01004";"AC";"805";4;1972;8513;2;"2022-09-15";;70937
"00101422H0005";"01014";"AI";"259";6;1052;963;5;"2022-04-01";"2023-03-01";3905
"00102522D0004";"01025";"0F";"347";6;1921;2725;2;"2022-07-11";;1911
"00102922C0002";"01029";"ZO";"134";6;8288;0;5;"2022-09-12";"2023-12-10";0
"00103322B0017";"01033";"AB";"373";4;9285;0;2;"2022-10-11";;0
"00104321A0044";"01043";"AI";"335";4;2281;0;2;"2022-06-20";;10232
"00104721A0018";"01047";"AA";"97";6;1053;0;5;"2022-01-17";"2022-05-30";4538
"00104721A0019";"01047";"AA";"97";6;2075;0;5;"2022-01-17";"2022-05-30";7021
"0010492200004";"01049";"ZD";"45";6;7449;0;2;"2022-06-21";;39418
"0010492200016";"01049";"AH";"700";6;6052;9352;2;"2022-10-17";;31723
"00105321O0093";"01053";"AD";"775";4;4436;0;2;"2022-03-08";;2269
"00105321O0119";"01053";"BR";"372";3;8811;0;5;"2022-10-06";"2023-03-06";49372
"00105321O0131";"01053";"BO";"542";8;2347;0;2;"2022-03-03";;25218
"00105322A0009";"01053";"BO";"414";6;2631;0;5;"2022-04-27";"2022-12-16";49521
"00105721D0008";"01057";"0A";"1520";3;3587;8116;5;"2022-03-10";"2022-05-23";55437
"00106922B0005";"01069";"ZH";"17";8;1204;0;5;"2022-12-05";"2024-01-22";5820
"00107122B0004";"01071";"AP";"190";4;3603;589;2;"2022-12-28";;0
"00110522V0003";"01105";"ZW";"260";6;1677;0;5;"2022-07-06";"2023-05-22";0
"00110522V0006";"01105";"ZW";"249";6;6147;15472;2;"2022-04-27";;0
"00113422D0005";"01134";"C";"2428";6;4110;0;2;"2022-08-10";;35585
"00115721V0045";"01157";"ZC";"196";8;1127;0;5;"2022-02-11";"2023-05-10";3422
"00115722V0018";"01157";"ZC";"249";6;1118;2262;2;"2022-11-22";;8744
"00116022J0006";"01160";"AN";"35";3;3328;0;2;"2022-12-23";;12940
"00116621V0040";"01166";"ZH";"473";6;1328;0;5;"2022-03-15";"2022-08-02";15567
