"NUM_DAU";"COMM";"SEC_CADASTRE1";"NUM_CADASTRE1";"DESTINATION_PRINCIPALE";"SURF_LOC_CREEE";"SURF_LOC_AVANT";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"SUPERFICIE_TERRAIN"
"00100419A1059";"01004";"AB";"575";4;1750;466;5;"2020-03-04";"2021-05-03";5259
"00103119H0008";"01031";"AE";"171";8;7773;6756;5;"2020-02-07";"2020-09-02";50134
"00103120H0005";"01031";"AH";"173";6;1046;7728;2;"2020-10-12";;15779
"00103420C0022";"01034";"0A";"1299";8;1087;1525;2;"2020-08-19";;8527
"00103420C0027";"01034";"AK";"529";3;2769;0;2;"2020-11-09";;3020
"00105320O0009";"01053";"AD";"773";3;4110;0;5;"2020-05-11";"2020-07-27";0
"00107220D0011";"01072";"ZA";"113";6;8812;0;5;"2020-09-05";"2020-11-16";44585
"00111420B0001";"01114";"ZC";"225";6;1911;1470;5;"2020-07-10";"2020-04-30";12363
"0011422000012";"01142";"AH";"1045";6;3363;0;5;"2020-11-16";"2021-03-01";6650
"00115919D0039";"01159";"ZH";"441";6;4380;0;2;"2020-03-30";;0
"00116019J0005";"01160";"AN";"259";4;63878;0;2;"2020-07-17";;29755
"00116019J0021";"01160";"AN";"35";4;1070;0;2;"2020-03-10";;0
"00117319J1038";"01173";"AI";"339";4;1148;31;5;"2020-07-15";"2020-12-14";3658
"00117319J1044";"01173";"AI";"753";3;1500;0;5;"2020-07-15";"2022-11-14";0
"00119619D0008";"01196";"0C";"2761";4;2288;4514;2;"2020-01-24";;32642
"00123220D0017";"01232";"WR";"153";6;1875;1531;2;"2020-07-31";;8775
"00124919A0056";"01249";"ZA";"261";8;2806;8340;5;"2020-01-09";"2021-08-27";22900
"00128819B0038";"01288";"ZC";"125";8;1822;0;2;"2020-02-18";;63759
"00135420J0014";"01354";"BK";"3";3;3209;0;2;"2020-09-25";;12379
"00137619A0017";"01376";"AI";"588";3;19740;10551;5;"2020-03-09";"2021-02-01";35000
"00145119D0078";"01451";"BK";"116";3;1486;0;5;"2020-02-27";"2021-12-20";1307
"00145719D0029";"01457";"0A";"3461";6;1325;0;2;"2020-02-25";;53650
"00202819A0013";"02028";"ZM";"403";6;7714;24679;2;"2020-07-02";;103353
"00215720A0002";"02157";"ZA";"72";6;1614;0;2;"2020-09-24";;5156
"00269120W0011";"02691";"ZR";"160";6;6510;0;5;"2020-05-04";"2020-06-10";0
"00281519Q0005";"02815";"ZB";"47";3;1062;2354;5;"2020-02-11";"2021-04-21";19208
"00306020A0005";"03060";"AB";"12";8;5332;10544;5;"2020-12-15";"2021-04-14";41487
"00309320A0005";"03093";"ZE";"9";6;1495;1016;5;"2020-06-05";"2021-07-01";25362
"00309520A0003";"03095";"CL";"57";8;1695;0;5;"2020-04-30";"2021-04-12";8867
"00310120A0015";"03101";"AI";"476";8;1003;0;5;"2020-07-31";"2021-06-01";0
"00311820A0025";"03118";"XE";"88";3;1368;75;2;"2020-09-02";;13539
"00322020A0005";"03220";"YL";"86";6;1508;0;5;"2020-08-18";"2020-10-12";9183
"00322020A0008";"03220";"YM";"155";6;1031;6078;5;"2020-10-19";"2021-05-21";15307
"00324219A0006";"03242";"ZB";"70";6;2702;995;5;"2020-02-18";"2021-01-04";33686
"00326420A0008";"03264";"BE";"7";6;7930;64016;5;"2020-10-08";"2020-10-09";245931
"0032861900015";"03286";"YN";"14";3;4877;0;2;"2020-02-14";;0
"0040941900031";"04094";"ZC";"665";4;1036;0;5;"2020-05-14";"2022-07-25";3438
"00411120S0006";"04111";"D";"1145";6;1283;2053;2;"2020-09-21";;4338
"00513619H0006";"05136";"F";"965";4;1762;1337;5;"2020-03-20";"2020-03-20";12108
"00602920D0005";"06029";"BY";"14";4;5580;14155;5;"2020-10-23";"2021-01-15";16990
