"NUM_DAU";"COMM";"SEC_CADASTRE1";"NUM_CADASTRE1";"DESTINATION_PRINCIPALE";"SURF_LOC_CREEE";"SURF_LOC_AVANT";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"SUPERFICIE_TERRAIN"
"0022902500009";"02290";"YT";"71";4;1372;0;2;"2026-01-27";;6914
"0027382500033";"02738";"AC";"58";6;1098;0;2;"2026-01-29";;832000
"00321325M0002";"03213";"B";"687";6;2490;2240;2;"2026-01-28";;76432
"0060692500062";"06069";"DT";"26";3;4535;0;2;"2026-01-16";;12765
"00608325H0273";"06083";"BK";"26";4;2629;0;2;"2026-01-22";;1298
"00715725C0007";"07157";"AB";"120";4;1559;0;2;"2026-01-30";;4346
"0084352500002";"08435";"AA";"61";8;1450;0;2;"2026-01-15";;12490
"0112552500008";"11255";"C";"6";8;7049;0;2;"2026-01-14";;42340
"0120082500018";"12008";"ZE";"429";8;2007;0;2;"2026-01-16";;5988
"0121762500035";"12176";"BD";"878";4;3495;0;2;"2026-01-05";;4891
"0122022500026";"12202";"AP";"167";4;1441;0;2;"2026-01-21";;8492
"0123002510038";"12300";"0I";"573";8;9980;0;2;"2026-01-13";;37140
"0130152500010";"13015";"CD";"111";8;11080;27445;2;"2026-01-22";;107287
"0130262500024";"13026";"CH";"2";4;18120;0;2;"2026-01-20";;20003
"01307125C0077";"13071";"CS";"262";8;3292;2284;2;"2026-01-16";;5008
"0130942500016";"13094";"B";"1622";3;1307;9485;2;"2026-01-15";;105931
"0141672500012";"14167";"BH";"163";6;3048;0;2;"2026-01-06";;4938
"0141672500013";"14167";"BH";"163";6;1719;0;2;"2026-01-06";;2015
"0141672500015";"14167";"BH";"300";3;4616;0;2;"2026-01-15";;11277
"0162922500002";"16292";"BD";"278";8;5577;0;2;"2026-01-16";;28600
"0173402500013";"17340";"ZC";"43";6;1590;120;2;"2026-01-20";;72680
"0180332500126";"18033";"AO";"158";8;3954;0;2;"2026-01-27";;22758
"0182052500036";"18205";"CV";"287";4;1100;0;2;"2026-01-12";;6446
"0182792500045";"18279";"BV";"357";4;2139;0;2;"2026-01-14";;4187
"0190722500019";"19072";"AZ";"599";8;1082;0;2;"2026-01-20";;11278
"0190812500006";"19081";"0A";"1611";6;1473;5932;2;"2026-01-20";;40164
"0210542500050";"21054";"CD";"202";4;2509;21902;2;"2026-01-02";;62485
"02227225P0006";"22272";"AR";"49";6;1678;36297;2;"2026-01-23";;104520
"02503225D0004";"25032";"AB";"344";4;1070;801;2;"2026-01-16";;6121
"0254242500020";"25424";"ZL";"302";3;1082;0;2;"2026-01-16";;1472
"0260092500007";"26009";"A";"2451";6;1151;17393;2;"2026-01-05";;47410
"0261602500009";"26160";"A";"1216";6;12097;37432;2;"2026-01-29";;214878
"0261702500023";"26170";"AN";"1072";4;1905;0;2;"2026-01-23";;1191
"02625025T0005";"26250";"ZB";"418";8;6969;0;2;"2026-01-08";;11604
"0262522500033";"26252";"AY";"318";8;1664;0;2;"2026-01-13";;2404
"0263022500006";"26302";"AD";"62";8;1930;7340;2;"2026-01-08";;28663
"0263132500020";"26313";"ZI";"729";8;4354;0;2;"2026-01-15";;0
"0271962500010";"27196";;;8;5456;0;2;"2026-01-19";;17971
"0273322500015";"27332";;;8;15076;32027;2;"2026-01-26";;0
"0274252500012";"27425";"A";"646";3;2884;8586;2;"2026-01-20";;61127
"0280852500059";"28085";"ZO";"210";6;4240;0;2;"2026-01-23";;5777
"0281772500017";"28177";"ZP";"1";6;4240;0;2;"2026-01-21";;9034
"0281992400001";"28199";"ZL";"145";8;80473;0;2;"2026-01-16";;169761
"0290422500087";"29042";"HY";"147";4;1425;0;2;"2026-01-20";;7479
"0290512500041";"29051";"A";"2646";4;2204;0;2;"2026-01-30";;6819
"0290612500033";"29061";"AY";"68";8;1823;0;2;"2026-01-09";;10454
"0292482500013";"29248";"WB";"304";4;1600;2107;2;"2026-01-09";;12215
"0300272500031";"30027";"AE";"718";8;1024;0;2;"2026-01-27";;7013
"0300282500003";"30028";"BI";"379";4;1489;0;2;"2026-01-19";;9068
"0301892500218";"30189";"EX";"566";3;1276;0;2;"2026-01-29";;2407
"0302942500022";"30294";"CK";"276";8;2834;0;2;"2026-01-20";;9916
"0311502500041";"31150";"AH";"248";6;1152;6242;2;"2026-01-23";;877
"0312302500014";"31230";"AS";"16";8;1110;0;2;"2026-01-09";;2048
"0312532500010";"31253";"B";"105";6;3928;0;2;"2026-01-08";;22017
"0312532500011";"31253";"B";"105";6;1841;0;2;"2026-01-08";;18544
"0312532500012";"31253";"B";"105";6;3928;0;2;"2026-01-08";;18544
"0312542500029";"31254";"AA";"15";8;1355;6082;2;"2026-01-27";;12864
